trade_date,ticker,entry_time,direction,entry_price,sl,target,sl_pct,tp_pct,rr_ratio,exit_price,exit_reason,qty,gross_pnl,brokerage,net_pnl,confidence,win
2026-03-20,GEMAROMA.BE.NSE,2026-03-20 12:57:59,SHORT,169.25,170.13,167.78,0.52,0.867,1.67,167.78,TARGET,590,866.14,59.65,806.48,0.695,True
2026-03-20,MCL.BE.NSE,2026-03-20 12:57:59,SHORT,61.99,62.26,61.54,0.44,0.733,1.67,62.26,SL,1613,-440.02,60.13,-500.15,0.646,False
2026-03-20,BGRENERGY.BE.NSE,2026-03-20 12:58:59,SHORT,296.0,297.35,293.76,0.455,0.758,1.67,293.76,TARGET,337,755.63,59.62,696.01,0.5649,True
2026-03-20,EMBDL.BE.NSE,2026-03-20 12:58:59,SHORT,49.5,49.93,48.78,0.878,1.463,1.67,48.78,TARGET,2020,1462.38,59.56,1402.83,0.5753,True
2026-03-20,GVPIL.BE.NSE,2026-03-20 12:58:59,SHORT,434.85,437.52,430.39,0.615,1.025,1.67,430.39,TARGET,229,1020.48,59.44,961.04,0.6374,True
2026-03-20,AAKASH.BE.NSE,2026-03-20 12:59:59,SHORT,9.03,9.08,8.94,0.579,0.965,1.67,9.08,SL,11074,-579.23,60.17,-639.4,0.607,False
2026-03-20,BESTAGRO.BE.NSE,2026-03-20 12:59:59,LONG,14.23,14.17,14.33,0.431,0.719,1.67,14.33,TARGET,7027,718.8,60.21,658.59,0.7852,True
2026-03-20,EMBDL.BE.NSE,2026-03-20 12:59:59,LONG,49.0,48.53,49.78,0.961,1.602,1.67,49.78,TARGET,2040,1600.87,60.46,1540.41,0.6339,True
2026-03-20,GVPIL.BE.NSE,2026-03-20 12:59:59,SHORT,434.85,437.33,430.71,0.571,0.952,1.67,430.71,TARGET,229,947.59,59.46,888.13,0.584,True
2026-03-20,MANAKALUCO.BE.NSE,2026-03-20 12:59:59,LONG,24.85,24.62,25.24,0.938,1.564,1.67,25.24,TARGET,4024,1563.77,60.47,1503.3,0.8629,True
2026-03-20,GOYALALUM.BE.NSE,2026-03-20 13:00:59,LONG,5.87,5.83,5.94,0.739,1.231,1.67,5.94,TARGET,17035,1231.39,60.37,1171.02,0.8574,True
2026-03-20,BESTAGRO.BE.NSE,2026-03-20 13:01:59,LONG,14.23,14.16,14.35,0.503,0.838,1.67,14.35,TARGET,7027,837.58,60.25,777.34,0.7111,True
2026-03-20,SALSTEEL.BE.NSE,2026-03-20 13:01:59,LONG,36.31,35.98,36.85,0.896,1.493,1.67,36.85,TARGET,2754,1493.01,60.45,1432.57,0.6398,True
2026-03-20,SCHNEIDER.BE.NSE,2026-03-20 13:01:59,LONG,897.3,894.18,902.5,0.348,0.579,1.67,894.18,SL,111,-346.11,59.66,-405.77,0.6158,False
2026-03-20,BESTAGRO.BE.NSE,2026-03-20 13:02:59,SHORT,14.39,14.47,14.25,0.581,0.968,1.67,14.47,SL,6949,-580.6,60.17,-640.77,0.6319,False
2026-03-20,DCMSIL.BE.NSE,2026-03-20 13:02:59,LONG,88.29,87.26,90.01,1.171,1.951,1.67,87.26,SL,1132,-1170.19,59.62,-1229.81,0.7583,False
2026-03-20,GVPIL.BE.NSE,2026-03-20 13:02:59,SHORT,434.8,437.52,430.26,0.627,1.044,1.67,430.26,TARGET,229,1039.78,59.43,980.35,0.6244,True
2026-03-20,SALSTEEL.BE.NSE,2026-03-20 13:02:59,SHORT,37.79,38.25,37.02,1.219,2.031,1.67,38.25,SL,2646,-1218.78,60.36,-1279.14,0.5903,False
2026-03-20,DCMSIL.BE.NSE,2026-03-20 13:03:59,LONG,88.29,87.33,89.89,1.087,1.812,1.67,87.33,SL,1132,-1086.61,59.64,-1146.25,0.6759,False
2026-03-20,EMBDL.BE.NSE,2026-03-20 13:03:59,SHORT,49.5,50.17,48.39,1.344,2.241,1.67,48.39,TARGET,2020,2240.38,59.32,2181.05,0.5793,True
2026-03-20,RELINFRA.BE.NSE,2026-03-20 13:03:59,LONG,78.0,77.77,78.39,0.297,0.495,1.67,78.39,TARGET,1282,494.48,60.15,434.34,0.6323,True
2026-03-20,DCMSIL.BE.NSE,2026-03-20 13:04:59,LONG,88.28,87.39,89.77,1.011,1.685,1.67,87.39,SL,1132,-1010.21,59.66,-1069.86,0.5665,False
2026-03-20,KESORAMIND.BE.NSE,2026-03-20 13:05:59,LONG,8.1,8.05,8.19,0.648,1.08,1.67,8.19,TARGET,12345,1079.58,60.32,1019.26,0.7378,True
2026-03-20,AAKASH.BE.NSE,2026-03-20 13:06:59,LONG,8.95,8.9,9.03,0.523,0.872,1.67,8.9,SL,11173,-523.1,59.84,-582.94,0.7159,False
2026-03-20,EMBDL.BE.NSE,2026-03-20 13:06:59,LONG,48.75,48.05,49.92,1.435,2.392,1.67,48.05,SL,2051,-1434.85,59.56,-1494.41,0.7735,False
2026-03-20,GOYALALUM.BE.NSE,2026-03-20 13:06:59,LONG,5.88,5.82,5.98,1.004,1.674,1.67,5.98,TARGET,17006,1673.82,60.5,1613.32,0.8885,True
2026-03-20,MCL.BE.NSE,2026-03-20 13:06:59,SHORT,61.99,62.24,61.57,0.409,0.681,1.67,62.24,SL,1613,-408.59,60.12,-468.71,0.626,False
2026-03-20,EMBDL.BE.NSE,2026-03-20 13:07:59,LONG,48.6,47.91,49.75,1.425,2.375,1.67,49.75,TARGET,2057,2374.02,60.69,2313.33,0.7748,True
2026-03-20,GEMAROMA.BE.NSE,2026-03-20 13:07:59,LONG,167.0,166.01,168.66,0.596,0.993,1.67,166.01,SL,598,-594.9,59.74,-654.64,0.6675,False
2026-03-20,KAVDEFENCE.BE.NSE,2026-03-20 13:07:59,LONG,60.33,60.02,60.84,0.51,0.85,1.67,60.02,SL,1657,-509.7,59.83,-569.53,0.7606,False
2026-03-20,KESORAMIND.BE.NSE,2026-03-20 13:07:59,SHORT,8.17,8.23,8.08,0.688,1.147,1.67,8.23,SL,12239,-688.11,60.2,-748.31,0.6182,False
2026-03-20,MCL.BE.NSE,2026-03-20 13:07:59,LONG,60.84,60.48,61.44,0.589,0.982,1.67,61.44,TARGET,1643,981.51,60.27,921.24,0.8662,True
2026-03-20,GVPIL.BE.NSE,2026-03-20 13:08:59,SHORT,434.75,437.29,430.52,0.583,0.972,1.67,430.52,TARGET,230,971.78,59.7,912.07,0.5593,True
