trade_date,ticker,entry_time,direction,entry_price,sl,target,sl_pct,tp_pct,rr_ratio,exit_price,exit_reason,qty,gross_pnl,brokerage,net_pnl,confidence,win
2026-01-22,BESTAGRO.BE.NSE,2026-01-22 09:34:59,LONG,21.6,21.14,22.99,2.143,6.43,3.0,163.43,TRAILING_SL,2314,328187.81,128.45,328059.37,0.724,True
2026-01-22,BHAGYANGR.BE.NSE,2026-01-22 09:34:59,SHORT,163.89,167.67,152.56,2.305,6.915,3.0,152.56,TARGET,305,3456.33,28.95,3427.37,0.6819,True
2026-01-22,NACLIND.BE.NSE,2026-01-22 09:34:59,LONG,165.3,162.21,174.56,1.868,5.604,3.0,162.21,TRAILING_SL,302,-932.59,29.67,-962.26,0.6551,False
2026-01-22,BHAGYANGR.BE.NSE,2026-01-22 09:35:59,LONG,161.16,157.36,172.56,2.358,7.074,3.0,157.36,TRAILING_SL,310,-1178.03,29.62,-1207.65,0.7013,False
2026-01-22,GOYALALUM.BE.NSE,2026-01-22 09:35:59,SHORT,7.15,7.39,6.44,3.3,9.901,3.0,7.39,TRAILING_SL,6993,-1650.14,30.5,-1680.63,0.5997,False
2026-01-22,NACLIND.BE.NSE,2026-01-22 09:35:59,SHORT,167.95,171.1,158.5,1.876,5.629,3.0,158.5,TARGET,297,2807.89,29.09,2778.8,0.7178,True
2026-01-22,BESTAGRO.BE.NSE,2026-01-22 09:36:59,SHORT,22.0,22.49,20.54,2.216,6.649,3.0,22.49,TRAILING_SL,2272,-1107.74,30.32,-1138.06,0.6627,False
2026-01-22,BHAGYANGR.BE.NSE,2026-01-22 09:36:59,SHORT,163.8,167.61,152.37,2.327,6.981,3.0,152.37,TARGET,305,3487.53,28.93,3458.61,0.7047,True
2026-01-22,EXXARO.BE.NSE,2026-01-22 09:36:59,LONG,7.02,6.91,7.35,1.584,4.751,3.0,7.35,TARGET,7122,2375.38,30.71,2344.67,0.5997,True
2026-01-22,NACLIND.BE.NSE,2026-01-22 09:36:59,LONG,165.31,162.1,174.94,1.941,5.824,3.0,162.1,TRAILING_SL,302,-969.16,29.66,-998.83,0.7039,False
2026-01-22,TAKE.BE.NSE,2026-01-22 09:36:59,SHORT,39.5,39.95,38.16,1.132,3.396,3.0,38.16,TARGET,1265,1697.07,29.47,1667.59,0.6084,True
2026-01-22,GOYALALUM.BE.NSE,2026-01-22 09:37:59,SHORT,7.2,7.42,6.55,2.99,8.969,3.0,7.42,TRAILING_SL,6944,-1494.69,30.45,-1525.14,0.6157,False
2026-01-22,MAANALU.BE.NSE,2026-01-22 09:37:59,LONG,149.21,147.27,155.04,1.302,3.907,3.0,165.95,TRAILING_SL,335,5606.9,31.67,5575.23,0.6288,True
2026-01-22,NACLIND.BE.NSE,2026-01-22 09:37:59,SHORT,167.89,171.15,158.12,1.94,5.819,3.0,158.12,TARGET,297,2901.41,29.05,2872.36,0.7386,True
2026-01-22,TAKE.BE.NSE,2026-01-22 09:37:59,SHORT,39.5,39.92,38.25,1.051,3.154,3.0,38.25,TARGET,1265,1575.85,29.51,1546.34,0.5717,True
2026-01-22,BHAGYANGR.BE.NSE,2026-01-22 09:38:59,SHORT,163.8,167.25,153.46,2.104,6.312,3.0,153.46,TARGET,305,3153.46,29.03,3124.43,0.6326,True
2026-01-22,MAANALU.BE.NSE,2026-01-22 09:38:59,SHORT,150.88,152.86,144.93,1.314,3.943,3.0,152.86,TRAILING_SL,331,-656.41,30.16,-686.58,0.652,False
2026-01-22,NACLIND.BE.NSE,2026-01-22 09:38:59,SHORT,167.87,170.9,158.79,1.803,5.408,3.0,158.79,TARGET,297,2696.08,29.11,2666.97,0.6658,True
2026-01-22,EXXARO.BE.NSE,2026-01-22 09:39:59,SHORT,7.21,7.33,6.84,1.714,5.143,3.0,7.33,TRAILING_SL,6934,-856.99,30.25,-887.24,0.7087,False
2026-01-22,GOYALALUM.BE.NSE,2026-01-22 09:39:59,SHORT,7.2,7.41,6.57,2.895,8.685,3.0,7.41,TRAILING_SL,6944,-1447.45,30.43,-1477.88,0.5559,False
2026-01-22,NACLIND.BE.NSE,2026-01-22 09:39:59,SHORT,167.85,170.66,159.41,1.675,5.026,3.0,159.41,TARGET,297,2505.41,29.16,2476.25,0.6315,True
2026-01-22,BHAGYANGR.BE.NSE,2026-01-22 09:40:59,LONG,162.24,158.87,172.34,2.076,6.227,3.0,158.87,TRAILING_SL,308,-1037.15,29.67,-1066.82,0.5818,False
2026-01-22,EXXARO.BE.NSE,2026-01-22 09:40:59,SHORT,7.23,7.35,6.88,1.617,4.851,3.0,7.35,TRAILING_SL,6915,-808.41,30.24,-838.65,0.6331,False
2026-01-22,BHAGYANGR.BE.NSE,2026-01-22 09:41:59,LONG,161.21,157.89,171.17,2.059,6.176,3.0,157.89,TRAILING_SL,310,-1028.78,29.68,-1058.45,0.6847,False
2026-01-22,EMBDL.BE.NSE,2026-01-22 09:41:59,LONG,63.92,63.53,65.08,0.607,1.822,3.0,63.53,TRAILING_SL,782,-303.5,29.9,-333.4,0.6497,False
2026-01-22,EXXARO.BE.NSE,2026-01-22 09:41:59,SHORT,7.24,7.35,6.91,1.514,4.543,3.0,7.35,TRAILING_SL,6906,-757.09,30.23,-787.32,0.6039,False
2026-01-22,MAANALU.BE.NSE,2026-01-22 09:41:59,LONG,149.25,147.49,154.53,1.18,3.54,3.0,154.53,TARGET,335,1769.99,30.53,1739.46,0.6394,True
2026-01-22,NACLIND.BE.NSE,2026-01-22 09:41:59,SHORT,167.6,170.17,159.88,1.535,4.606,3.0,159.88,TARGET,298,2300.62,29.28,2271.35,0.5591,True
2026-01-22,TAKE.BE.NSE,2026-01-22 09:41:59,SHORT,40.0,40.43,38.71,1.075,3.226,3.0,38.71,TARGET,1250,1613.13,29.52,1583.62,0.6042,True
2026-01-22,EMBDL.BE.NSE,2026-01-22 09:42:59,LONG,63.9,63.54,64.99,0.567,1.702,3.0,63.54,TRAILING_SL,782,-283.5,29.9,-313.4,0.5518,False
2026-01-22,BESTAGRO.BE.NSE,2026-01-22 09:43:59,SHORT,22.15,22.59,20.84,1.977,5.932,3.0,22.59,TRAILING_SL,2257,-988.56,30.29,-1018.85,0.6586,False
2026-01-22,BHAGYANGR.BE.NSE,2026-01-22 09:43:59,LONG,161.5,158.46,170.63,1.884,5.653,3.0,158.46,TRAILING_SL,309,-940.36,29.66,-970.02,0.5587,False
2026-01-22,KESORAMIND.BE.NSE,2026-01-22 09:43:59,SHORT,10.72,10.91,10.16,1.755,5.264,3.0,10.91,TRAILING_SL,4664,-877.33,30.26,-907.59,0.7113,False
2026-01-22,UNITEDPOLY.BE.NSE,2026-01-22 09:43:59,LONG,30.01,29.76,30.76,0.831,2.494,3.0,29.76,TRAILING_SL,1666,-415.7,29.87,-445.58,0.618,False
2026-01-22,ABAN.BE.NSE,2026-01-22 09:44:59,LONG,23.2,23.06,23.62,0.606,1.818,3.0,23.06,TRAILING_SL,2155,-302.91,29.91,-332.82,0.5967,False
2026-01-22,KESORAMIND.BE.NSE,2026-01-22 09:44:59,SHORT,10.7,10.88,10.17,1.652,4.957,3.0,10.88,TRAILING_SL,4672,-826.07,30.24,-856.31,0.7094,False
