trade_date,ticker,entry_time,direction,entry_price,sl,target,sl_pct,tp_pct,rr_ratio,exit_price,exit_reason,qty,gross_pnl,brokerage,net_pnl,confidence,win
2026-03-02,HARDWYN.BE.NSE,2026-03-02 09:35:59,SHORT,17.2,17.54,16.19,1.957,5.87,3.0,17.54,SL,2906,-978.03,30.28,-1008.32,0.7106,False
2026-03-02,HARDWYN.BE.NSE,2026-03-02 09:36:59,LONG,16.73,16.37,17.81,2.149,6.447,3.0,17.81,TARGET,2988,3222.71,30.96,3191.75,0.6409,True
2026-03-02,ABAN.BE.NSE,2026-03-02 09:37:59,SHORT,19.24,19.54,18.35,1.547,4.641,3.0,18.35,TARGET,2598,2319.85,29.3,2290.55,0.5984,True
2026-03-02,HARDWYN.BE.NSE,2026-03-02 09:37:59,SHORT,17.0,17.36,15.92,2.123,6.368,3.0,17.36,SL,2941,-1061.22,30.32,-1091.54,0.6407,False
2026-03-02,EMBDL.BE.NSE,2026-03-02 09:38:59,SHORT,59.2,59.84,57.29,1.076,3.227,3.0,59.84,SL,844,-537.44,30.14,-567.58,0.6594,False
2026-03-02,HARDWYN.BE.NSE,2026-03-02 09:38:59,SHORT,17.0,17.34,15.99,1.971,5.913,3.0,17.34,SL,2941,-985.42,30.29,-1015.71,0.5993,False
2026-03-02,KAVDEFENCE.BE.NSE,2026-03-02 09:38:59,LONG,64.6,63.46,68.01,1.758,5.275,3.0,63.46,SL,773,-877.99,29.7,-907.68,0.6354,False
2026-03-02,KAVDEFENCE.BE.NSE,2026-03-02 09:39:59,LONG,64.6,63.46,68.03,1.772,5.316,3.0,63.46,SL,773,-884.84,29.7,-914.54,0.6074,False
2026-03-02,GLOBAL.BE.NSE,2026-03-02 09:41:59,SHORT,97.8,98.81,94.78,1.028,3.083,3.0,94.78,TARGET,511,1540.68,29.52,1511.16,0.6279,True
2026-03-02,KAVDEFENCE.BE.NSE,2026-03-02 09:41:59,SHORT,65.5,66.8,61.61,1.981,5.943,3.0,61.61,TARGET,763,2970.3,29.09,2941.21,0.6845,True
2026-03-02,GVPIL.BE.NSE,2026-03-02 09:42:59,LONG,462.05,455.21,482.57,1.48,4.441,3.0,455.21,SL,108,-738.66,29.72,-768.38,0.6016,False
2026-03-02,TVSSCS.BE.NSE,2026-03-02 09:42:59,SHORT,113.95,115.1,110.5,1.008,3.024,3.0,115.1,SL,438,-503.06,30.1,-533.16,0.6345,False
2026-03-02,GVPIL.BE.NSE,2026-03-02 09:43:59,LONG,462.05,455.33,482.21,1.455,4.364,3.0,455.33,SL,108,-725.86,29.72,-755.58,0.6363,False
2026-03-02,TVSSCS.BE.NSE,2026-03-02 09:43:59,SHORT,113.9,115.14,110.19,1.086,3.257,3.0,115.14,SL,438,-541.59,30.1,-571.68,0.6692,False
2026-03-02,ZEEMEDIA.BE.NSE,2026-03-02 09:44:59,LONG,8.2,8.06,8.63,1.739,5.218,3.0,8.63,TARGET,6097,2608.58,30.78,2577.8,0.7039,True
2026-03-02,GLOBAL.BE.NSE,2026-03-02 09:45:59,SHORT,97.8,98.92,94.43,1.148,3.445,3.0,94.43,TARGET,511,1721.66,29.47,1692.19,0.5928,True
2026-03-02,ZEEMEDIA.BE.NSE,2026-03-02 09:45:59,LONG,8.22,8.07,8.68,1.854,5.563,3.0,8.68,TARGET,6082,2781.21,30.83,2750.38,0.7494,True
2026-03-02,HARDWYN.BE.NSE,2026-03-02 09:47:59,LONG,16.77,16.51,17.54,1.525,4.576,3.0,17.54,TARGET,2981,2287.55,30.68,2256.87,0.622,True
2026-03-02,HARDWYN.BE.NSE,2026-03-02 09:48:59,SHORT,17.18,17.46,16.34,1.621,4.864,3.0,17.46,SL,2910,-810.5,30.24,-840.74,0.6667,False
2026-03-02,HARDWYN.BE.NSE,2026-03-02 09:50:59,SHORT,17.2,17.52,16.24,1.856,5.569,3.0,17.52,SL,2906,-927.88,30.27,-958.14,0.6432,False
2026-03-02,SOUTHWEST.BE.NSE,2026-03-02 09:50:59,LONG,181.1,179.17,186.9,1.067,3.201,3.0,179.17,SL,276,-533.4,29.83,-563.23,0.5968,False
2026-03-02,WANBURY.BE.NSE,2026-03-02 09:52:59,SHORT,259.5,262.91,249.28,1.312,3.937,3.0,249.28,TARGET,192,1961.68,29.31,1932.37,0.635,True
2026-03-02,DSFCL.BE.NSE,2026-03-02 09:53:59,SHORT,31.95,32.27,31.0,0.989,2.966,3.0,32.27,SL,1564,-494.08,30.13,-524.21,0.7237,False
2026-03-02,DSFCL.BE.NSE,2026-03-02 09:54:59,SHORT,31.93,32.23,31.04,0.925,2.775,3.0,32.23,SL,1565,-462.21,30.12,-492.33,0.6335,False
2026-03-02,GLOBAL.BE.NSE,2026-03-02 09:54:59,LONG,96.01,94.6,100.23,1.464,4.392,3.0,94.6,SL,520,-730.9,29.74,-760.64,0.6057,False
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 09:55:59,SHORT,9.1,9.16,8.91,0.694,2.082,3.0,9.16,SL,5494,-346.92,30.1,-377.02,0.6147,False
2026-03-02,DSFCL.BE.NSE,2026-03-02 09:56:59,SHORT,31.93,32.2,31.11,0.859,2.577,3.0,32.2,SL,1565,-429.2,30.11,-459.31,0.6185,False
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 09:56:59,SHORT,9.09,9.18,8.83,0.942,2.826,3.0,9.18,SL,5500,-470.99,30.14,-501.13,0.7478,False
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 09:57:59,SHORT,9.09,9.2,8.77,1.161,3.482,3.0,9.2,SL,5500,-580.35,30.17,-610.52,0.7054,False
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 09:58:59,LONG,8.83,8.71,9.2,1.404,4.212,3.0,9.2,TARGET,5662,2105.94,30.63,2075.31,0.6305,True
2026-03-02,TVSSCS.BE.NSE,2026-03-02 09:58:59,LONG,112.3,111.21,115.56,0.967,2.9,3.0,115.56,TARGET,445,1449.0,30.42,1418.58,0.6511,True
2026-03-02,WANBURY.BE.NSE,2026-03-02 09:58:59,SHORT,258.4,261.6,248.81,1.237,3.711,3.0,248.81,TARGET,193,1850.66,29.37,1821.29,0.619,True
2026-03-02,HARDWYN.BE.NSE,2026-03-02 09:59:59,LONG,16.78,16.51,17.59,1.614,4.842,3.0,16.51,SL,2979,-806.86,29.75,-836.61,0.6558,False
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 09:59:59,LONG,8.83,8.69,9.25,1.598,4.795,3.0,9.25,TARGET,5662,2397.15,30.72,2366.44,0.6552,True
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 10:00:59,LONG,8.85,8.72,9.25,1.503,4.51,3.0,9.25,TARGET,5649,2254.71,30.67,2224.04,0.6114,True
2026-03-02,TVSSCS.BE.NSE,2026-03-02 10:00:59,SHORT,113.75,114.99,110.04,1.086,3.259,3.0,114.99,SL,439,-542.39,30.12,-572.52,0.5898,False
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 10:01:59,SHORT,9.07,9.22,8.63,1.605,4.814,3.0,9.22,SL,5512,-802.23,30.24,-832.46,0.6483,False
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 10:02:59,SHORT,9.06,9.2,8.65,1.503,4.508,3.0,9.2,SL,5518,-751.25,30.22,-781.47,0.638,False
2026-03-02,TVSSCS.BE.NSE,2026-03-02 10:02:59,LONG,112.0,110.76,115.72,1.107,3.322,3.0,115.72,TARGET,446,1659.55,30.47,1629.08,0.5904,True
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 10:04:59,LONG,8.85,8.7,9.29,1.666,4.997,3.0,9.29,TARGET,5649,2498.35,30.75,2467.6,0.6199,True
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 10:05:59,SHORT,9.04,9.2,8.57,1.724,5.173,3.0,9.2,SL,5530,-862.08,30.25,-892.33,0.6489,False
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 10:07:59,LONG,8.85,8.69,9.34,1.85,5.551,3.0,9.34,TARGET,5649,2775.17,30.83,2744.34,0.582,True
2026-03-02,SCHNEIDER.BE.NSE,2026-03-02 10:07:59,LONG,881.0,875.61,897.16,0.611,1.834,3.0,875.61,SL,56,-301.56,29.51,-331.08,0.5813,False
2026-03-02,ZEEMEDIA.BE.NSE,2026-03-02 10:07:59,LONG,8.22,8.14,8.47,0.998,2.993,3.0,8.47,TARGET,6082,1496.15,30.45,1465.7,0.7141,True
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 10:08:59,SHORT,9.04,9.21,8.53,1.892,5.677,3.0,9.21,SL,5530,-945.96,30.28,-976.24,0.6194,False
2026-03-02,GLOBAL.BE.NSE,2026-03-02 10:09:59,SHORT,98.0,99.25,94.25,1.275,3.825,3.0,94.25,TARGET,510,1911.56,29.41,1882.14,0.6193,True
2026-03-02,GVPIL.BE.NSE,2026-03-02 10:09:59,LONG,456.65,453.16,467.12,0.764,2.293,3.0,453.16,SL,109,-380.39,29.75,-410.14,0.6552,False
2026-03-02,ZEEMEDIA.BE.NSE,2026-03-02 10:09:59,LONG,8.21,8.11,8.5,1.179,3.536,3.0,8.5,TARGET,6090,1768.07,30.53,1737.54,0.6603,True
2026-03-02,GOYALALUM.BE.NSE,2026-03-02 10:10:59,LONG,6.58,6.55,6.68,0.484,1.451,3.0,6.68,TARGET,7598,725.5,30.21,695.28,0.7995,True
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 10:10:59,SHORT,9.04,9.19,8.6,1.632,4.895,3.0,9.19,SL,5530,-815.65,30.24,-845.89,0.5839,False
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 10:12:59,LONG,8.83,8.68,9.27,1.675,5.025,3.0,9.27,TARGET,5662,2512.08,30.75,2481.33,0.6086,True
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 10:13:59,LONG,8.85,8.71,9.27,1.574,4.723,3.0,9.27,TARGET,5649,2361.18,30.7,2330.48,0.6615,True
2026-03-02,MANAKALUCO.BE.NSE,2026-03-02 10:14:59,SHORT,27.8,27.99,27.24,0.677,2.03,3.0,27.99,SL,1798,-338.23,30.09,-368.32,0.5933,False
2026-03-02,BORANA.BE.NSE,2026-03-02 10:15:59,LONG,380.0,378.4,384.79,0.42,1.26,3.0,378.4,SL,131,-209.04,29.81,-238.85,0.6309,False
2026-03-02,BGRENERGY.BE.NSE,2026-03-02 10:17:59,LONG,310.0,308.77,313.69,0.397,1.19,3.0,308.77,SL,161,-197.91,29.89,-227.79,0.6337,False
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 10:19:59,LONG,8.86,8.72,9.27,1.525,4.574,3.0,9.27,TARGET,5643,2287.01,30.68,2256.32,0.6463,True
